,0
190,1.3448856e-05
191,1.1238198e-05
192,9.3905655e-06
193,7.846409e-06
194,6.555931e-06
195,5.4775114e-06
196,4.576333e-06
197,3.823292e-06
198,3.1940644e-06
199,2.668311e-06
200,2.22903e-06
201,1.8620126e-06
202,1.5553803e-06
203,1.2992092e-06
204,1.0851987e-06
205,9.064172e-07
206,7.57069e-07
207,6.323127e-07
208,5.28102e-07
209,4.4105525e-07
210,3.6834783e-07
211,3.0761905e-07
212,2.5689653e-07
213,2.1453312e-07
214,1.7915158e-07
215,1.4960229e-07
216,1.2492424e-07
217,1.0431501e-07
218,8.7104034e-08
219,7.273132e-08
220,6.072905e-08
221,5.0706515e-08
222,4.2337277e-08
223,3.534882e-08
224,2.951342e-08
225,2.4640888e-08
226,2.0572479e-08
227,1.7175505e-08
228,1.43392365e-08
229,1.1971141e-08
230,9.993986e-09
231,8.34325e-09
232,6.9650747e-09
233,5.814468e-09
234,4.853875e-09
235,4.0519197e-09
236,3.3824201e-09
237,2.823502e-09
238,2.3569144e-09
239,1.9674045e-09
240,1.6422453e-09
241,1.3708107e-09
242,1.1442254e-09
243,9.550828e-10
244,7.971957e-10
245,6.654023e-10
246,5.5539057e-10
247,4.6356272e-10
248,3.869137e-10
249,3.2293457e-10
250,2.6953198e-10
251,2.2495858e-10
252,1.8775423e-10
253,1.5670158e-10
254,1.3078329e-10
255,1.09150834e-10
256,9.10958e-11
257,7.60265e-11
258,6.34495e-11
259,5.295264e-11
260,4.4191928e-11
261,3.688032e-11
262,3.0778158e-11
263,2.5685455e-11
264,2.143525e-11
265,1.788817e-11
266,1.492794e-11
267,1.2457496e-11
268,1.0395802e-11
269,8.675254e-12
270,7.2394074e-12
271,6.0411624e-12
272,5.0412166e-12
273,4.206748e-12
274,3.5103853e-12
275,2.9292742e-12
276,2.4443462e-12
277,2.0396794e-12
278,1.7019962e-12
279,1.4202091e-12
280,1.1850675e-12
281,9.888523e-13
282,8.2511954e-13
283,6.8849256e-13
284,5.744861e-13
285,4.7935473e-13
286,3.9997395e-13
287,3.3373697e-13
288,2.7846703e-13
289,2.323491e-13
290,1.9386802e-13
291,1.6175888e-13
292,1.3496722e-13
293,1.1261227e-13
