,0
154,1.32740215e-05
155,1.1325789e-05
156,9.6620215e-06
157,8.243869e-06
158,7.0412093e-06
159,6.0211833e-06
160,5.1517254e-06
161,4.413218e-06
162,3.7864577e-06
163,3.2555997e-06
164,2.8057689e-06
165,2.424707e-06
166,2.099955e-06
167,1.8235957e-06
168,1.5880568e-06
169,1.3874676e-06
170,1.2149285e-06
171,1.0672128e-06
172,9.399415e-07
173,8.289972e-07
174,7.327296e-07
175,6.47335e-07
176,5.729506e-07
177,5.0839736e-07
178,4.5308565e-07
179,4.0690423e-07
180,3.699422e-07
181,3.4599245e-07
182,3.4150455e-07
183,3.4422544e-07
184,3.5961224e-07
185,3.8875362e-07
186,4.3092282e-07
187,5.045444e-07
188,5.8541025e-07
189,6.9337574e-07
190,7.771275e-07
191,8.5825627e-07
192,9.607173e-07
193,1.069213e-06
194,1.2069597e-06
195,1.3696194e-06
196,1.5101231e-06
197,1.653193e-06
198,1.7899852e-06
199,1.9428192e-06
200,2.1388205e-06
201,2.4221922e-06
202,2.892478e-06
203,3.352882e-06
204,3.7976595e-06
205,4.23353e-06
206,4.6356417e-06
207,5.07871e-06
208,5.4624884e-06
209,5.7022253e-06
210,5.883583e-06
211,5.986391e-06
212,6.0022703e-06
213,5.958547e-06
214,5.9305758e-06
215,5.8187084e-06
216,5.6865165e-06
217,5.5692185e-06
218,5.455598e-06
219,5.327469e-06
220,5.1711063e-06
221,5.010362e-06
222,4.8496204e-06
223,4.670916e-06
224,4.476591e-06
225,4.2488637e-06
226,4.0080017e-06
227,3.7797824e-06
228,3.5400158e-06
229,3.3096667e-06
230,3.080993e-06
231,2.8569027e-06
232,2.650141e-06
233,2.4613144e-06
234,2.3010741e-06
235,2.1564733e-06
236,2.0194498e-06
237,1.8940214e-06
238,1.7807218e-06
239,1.6956435e-06
240,1.6247999e-06
241,1.5814144e-06
242,1.5572815e-06
243,1.5714753e-06
244,1.5954174e-06
245,1.6572782e-06
246,1.7254501e-06
247,1.8119657e-06
248,1.8760066e-06
249,1.927575e-06
250,1.9796016e-06
251,2.0599457e-06
252,2.181297e-06
253,2.3988207e-06
254,2.6762607e-06
255,2.957865e-06
256,3.2437774e-06
257,3.5168032e-06
258,3.7809534e-06
259,4.107493e-06
260,4.4010426e-06
261,4.7296435e-06
262,5.0910426e-06
263,5.504396e-06
264,6.007027e-06
265,6.5572926e-06
266,7.108118e-06
267,7.8235225e-06
268,8.74657e-06
269,9.772231e-06
270,1.0826153e-05
271,1.1683304e-05
272,1.2418672e-05
273,1.3019536e-05
274,1.3710339e-05
275,1.4645484e-05
276,1.5808246e-05
277,1.7358354e-05
278,1.9102808e-05
279,2.1937327e-05
280,2.4525465e-05
281,2.7307342e-05
282,3.0681007e-05
283,3.4944635e-05
284,3.9674123e-05
285,4.642297e-05
286,5.4458033e-05
287,6.5988854e-05
288,8.337504e-05
289,0.00012895663
290,0.000200565
291,0.00033404547
292,0.00068329397
293,0.0011649546
294,0.0020267938
295,0.0037003602
296,0.0070803347
297,0.01264307
298,0.023409735
299,0.042525157
300,0.08145644
301,0.15230219
302,0.34942427
303,0.7803228
304,1.5614886
305,3.2744474
306,7.225803
307,20.374874
308,55.751534
309,173.07639
310,590.537
311,1912.6323
312,2874.8374
313,3497.4836
314,3892.7183
315,4088.969
316,4124.6646
317,4038.3655
318,3864.5674
319,3632.2144
320,3364.5374
321,3079.519
322,2790.6072
323,2507.4915
324,2236.8408
325,1982.9579
326,1748.3378
327,1534.1266
328,1340.4929
329,1166.9213
330,1012.43677
331,875.7794
332,755.53186
333,650.2135
334,558.3468
335,478.50296
336,409.33176
337,349.57898
338,298.09567
339,253.84082
340,215.87975
341,183.37976
342,155.60373
343,131.90279
344,111.70847
345,94.52493
346,79.92117
347,67.5239
348,57.010647
349,48.103653
350,40.564194
351,34.18754
352,28.798454
353,24.247202
354,20.40605
355,17.166182
356,14.435029
357,12.133929
358,10.196127
359,8.565015
360,7.192648
361,6.038446
362,5.0680947
363,4.2525973
364,3.5674691
365,2.992048
366,2.5089083
367,2.1033626
368,1.763037
369,1.4775124
370,1.2380195
371,1.0371807
372,0.86879146
373,0.7276364
374,0.6093322
375,0.5101969
376,0.42713797
377,0.3575592
378,0.2992813
379,0.2504756
380,0.20960788
381,0.17539139
382,0.146747
383,0.122770034
384,0.10270212
385,0.08590767
386,0.071854085
387,0.060095146
388,0.050257068
389,0.04202676
390,0.035142034
391,0.029383346
392,0.024566883
393,0.020538764
394,0.017170181
395,0.014353336
396,0.011998002
397,0.010028684
398,0.008382213
399,0.007005739
400,0.0058550457
401,0.0048931492
402,0.0040891124
403,0.0034170607
404,0.0028553533
405,0.002385894
406,0.0019935495
